position,seed,n_subsets,subset_idx,model,cvR2_mean,TEST_R2,TEST_MAE,TEST_RMSE,n_features,bases,interactions,max_pred
RB,65,65,59,GB,0.8441671982438154,0.9186992846390798,0.6259270973944578,0.7845057637640499,14,40 Time|Weight|Draft Age|BMI|DOM+|YPC|YCO/A|Break%|ELU|Conference Rank|YPR|Draft Capital|Height|MTF/A,,14.162649238647402
RB,65,65,45,GB,0.8560204069563607,0.916388851230365,0.5989281982473073,0.7955748588748854,14,YPR|DOM+|Draft Age|Weight|YCO/A|Breakout Age|Break%|ELU|YPC|BMI|MTF/A|Draft Capital|40 Time|Conference Rank,,14.512098752297995
RB,65,65,9,GB,0.8631883041078922,0.9161954659308369,0.5813458114201695,0.7964943751447233,11,ELU|40 Time|Breakout Age|Draft Capital|DOM+|YPC|Draft Age|YCO/A|Height|BMI|Conference Rank,,14.096034802491705
RB,65,65,8,GB,0.8633996143603853,0.9130887477512769,0.6104819899678502,0.8111234531415332,13,MTF/A|YPC|Draft Capital|YCO/A|Draft Age|Height|40 Time|Breakout Age|BMI|Conference Rank|DOM+|Break%|ELU,,14.49672477522311
RB,65,65,6,GB,0.8611104863060108,0.9121878428101466,0.619107455520508,0.8153165879173608,13,40 Time|MTF/A|ELU|Breakout Age|YPC|Draft Capital|Height|Draft Age|Weight|Conference Rank|DOM+|Break%|YCO/A,,14.488887379809498
RB,65,65,12,GB,0.8601663755165603,0.9089048991624206,0.6166919840399848,0.8304174481336357,13,Draft Capital|MTF/A|Conference Rank|40 Time|Draft Age|DOM+|Weight|BMI|Height|YPC|YCO/A|YPR|Breakout Age,,14.350441171363046
RB,65,65,41,GB,0.85353476067149,0.906577585885766,0.6607045741886942,0.8409583711798224,13,YPR|Draft Age|Break%|ELU|Draft Capital|40 Time|Weight|YCO/A|BMI|Breakout Age|Conference Rank|DOM+|MTF/A,,14.29942375012266
RB,65,65,33,GB,0.8592516109268861,0.9062776738464913,0.6318012791659773,0.8423071451743748,13,Breakout Age|YCO/A|Weight|BMI|40 Time|Draft Age|YPR|Break%|DOM+|MTF/A|YPC|Height|Draft Capital,,14.65482472266547
RB,65,65,54,GB,0.8609726962655667,0.9008750769033803,0.6480106587989776,0.8662442940224836,11,Draft Capital|Conference Rank|40 Time|Breakout Age|YPC|YCO/A|BMI|MTF/A|DOM+|Height|Weight,,13.989533447807698
RB,65,65,14,GB,0.8354901986075298,0.8984796814422662,0.722691051307971,0.8766483932373699,12,Height|40 Time|MTF/A|YCO/A|ELU|BMI|Conference Rank|Weight|Draft Age|Draft Capital|Break%|DOM+,,13.586302980010199
RB,65,65,62,GB,0.8595155063214157,0.896704894636238,0.6642976426892593,0.8842780130229823,11,Height|YPC|40 Time|Conference Rank|Break%|BMI|Draft Capital|DOM+|YCO/A|MTF/A|Breakout Age,,14.138155285889686
RB,65,65,64,GB,0.8594365327795825,0.8959734965807692,0.6384695350434122,0.8874031290725356,11,Draft Age|40 Time|YPR|DOM+|Breakout Age|Height|Conference Rank|MTF/A|YCO/A|Draft Capital|Weight,,14.519975144127667
RB,65,65,60,GB,0.8526660558534844,0.8917234169135871,0.7044129090906754,0.9053494170892306,12,Height|YCO/A|BMI|Break%|YPR|Conference Rank|DOM+|MTF/A|Breakout Age|40 Time|ELU|Draft Capital,,14.368998221541139
RB,65,65,49,GB,0.851383175082065,0.8910016785502176,0.7108116616012264,0.9083617957534936,12,Breakout Age|MTF/A|Height|Draft Capital|YCO/A|ELU|YPC|BMI|40 Time|YPR|Weight|DOM+,,14.506618204284324
RB,65,65,5,GB,0.8369252380266679,0.8875676857929654,0.7524004674199121,0.9225598076669237,11,Height|MTF/A|Draft Capital|YPR|Break%|DOM+|Conference Rank|40 Time|Breakout Age|Draft Age|BMI,,13.821628428649518
